127.0.0.1 - - [02/Feb/2021:00:11:04 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:11:08 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:11:08 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:13:28 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:14:08 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:17:24 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:17:25 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:17:25 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:18:05 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:18:48 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:23:05 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:24:10 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:24:14 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:24:15 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [02/Feb/2021:00:27:43 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
