0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:39:28 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:40:34 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:40:36 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:40:38 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:40:39 +0530] "GET /OnlineShoppingProject/forgotPassword.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:40:41 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:02:46 +0530] "GET /OnlineShoppingProject/forgotPassword.jsp HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:04:46 +0530] "POST /OnlineShoppingProject/forgotPasswordAction.jsp HTTP/1.1" 500 2367
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:06:00 +0530] "GET /OnlineShoppingProject/forgotPassword.jsp HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:06:38 +0530] "POST /OnlineShoppingProject/forgotPasswordAction.jsp HTTP/1.1" 500 2367
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:07:00 +0530] "POST /OnlineShoppingProject/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:07:00 +0530] "GET /OnlineShoppingProject/forgotPasword.jsp?msg=done HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:07:25 +0530] "POST /OnlineShoppingProject/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:07:25 +0530] "GET /OnlineShoppingProject/forgotPasword.jsp?msg=done HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:08:12 +0530] "POST /OnlineShoppingProject/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:08:12 +0530] "GET /OnlineShoppingProject/forgotPassword.jsp?msg=done HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:09:15 +0530] "POST /OnlineShoppingProject/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:09:15 +0530] "GET /OnlineShoppingProject/forgotPassword.jsp?msg=done HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:09:40 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:09:57 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:17:09:57 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 1291
