127.0.0.1 - - [03/May/2021:23:39:19 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/May/2021:23:39:21 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [03/May/2021:23:39:21 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [03/May/2021:23:39:21 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [03/May/2021:23:39:39 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:23:39:40 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [03/May/2021:23:40:06 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:23:40:06 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [03/May/2021:23:40:06 +0530] "GET /OnlineShoppingProject/css/home-style.css HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [03/May/2021:23:40:22 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [03/May/2021:23:40:22 +0530] "GET /OnlineShoppingProject/css/addNewProduct-style.css HTTP/1.1" 200 2917
