127.0.0.1 - - [31/May/2021:15:52:20 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:22 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:25 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:25 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:43 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:43 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:43 +0530] "GET /OnlineShoppingProject/css/home-style.css HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:50 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [31/May/2021:15:52:50 +0530] "GET /OnlineShoppingProject/css/addNewProduct-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [31/May/2021:15:54:22 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [31/May/2021:16:07:02 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [31/May/2021:16:07:06 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [31/May/2021:16:19:19 +0530] "GET /OnlineShoppingProject/header.jsp HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:28 +0530] "GET /OnlineShoppingProject/header.jsp HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:31 +0530] "GET /OnlineShoppingProject/header.jsp HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:32 +0530] "GET /OnlineShoppingProject/header.jsp HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:34 +0530] "GET /OnlineShoppingProject/header.jsp HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:16 +0530] "GET /OnlineShoppingProject/admin/adminHeader.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:32 +0530] "GET /OnlineShoppingProject/logout.jsp HTTP/1.1" 302 -
